"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Brian Dozier","- - -","-1.37","-11.70","10.33","-3.25","-0.32","1.01","0.96","5","-0.51","-0.85","9810"
"Jeimer Candelario","Tigers","-1.44","-11.52","10.08","-14.53","-1.44","1.01","4.08","4","-0.78","-0.65","13621"
"Ian Kinsler","- - -","-1.50","-9.68","8.18","-12.69","-1.27","0.94","2.25","4","-0.81","-0.78","6195"
"Salvador Perez","Royals","-1.83","-11.07","9.24","-17.92","-1.87","1.05","3.82","1","-1.31","-0.44","7304"
"Willson Contreras","Cubs","-1.88","-9.60","7.72","-2.87","-0.30","0.95","2.30","10","-0.04","-1.93","11609"
"Victor Martinez","Tigers","-2.00","-10.70","8.70","-24.29","-2.43","1.09","2.26","9","-1.79","-0.05","393"
"Tim Anderson","White Sox","-2.22","-11.85","9.64","-16.10","-1.63","0.97","1.77","2","-1.20","-1.08","15172"
"Marcus Semien","Athletics","-2.22","-12.46","10.24","-6.69","-0.56","0.93","","0","-0.48","-1.92","12533"
"Amed Rosario","Mets","-2.36","-11.51","9.15","-14.58","-1.70","1.04","1.62","7","-0.89","-1.37","15518"
"Yangervis Solarte","Blue Jays","-2.37","-10.74","8.37","-25.33","-2.61","1.03","1.60","5","-2.11","-0.19","5352"
"Billy Hamilton","Reds","-2.41","-10.46","8.05","-15.55","-1.66","1.00","0.95","4","-1.97","-0.45","10199"
"Jason Kipnis","Indians","-2.61","-10.99","8.38","3.15","0.30","0.95","1.99","3","-1.09","-1.66","9776"
"Alcides Escobar","Royals","-2.68","-10.29","7.61","-18.85","-1.87","1.05","","0","-1.96","-0.59","6310"
"Trey Mancini","Orioles","-2.72","-12.06","9.34","-18.95","-1.94","1.00","2.93","4","-1.02","-1.70","15149"
"Chris Davis","Orioles","-3.50","-10.03","6.53","-24.50","-2.48","0.98","2.14","1","-3.15","-0.41","9272"
