Name,Age,Position,fangraphsId,bbrefId
Curtis Granderson,38,LF,4747,grandcu01
Derek Dietrich,29,LF,10542,dietrde01
Craig Gentry,35,LF,9571,gentrcr01
Cameron Maybin,32,LF,5223,maybica01
Matt Holliday,39,LF,1873,hollima01
Danny Santana,28,LF,10322,santada01
Gerardo Parra,32,LF,8553,parrage01
Preston Tucker,28,LF,13633,tuckepr01
Hunter Pence,36,LF,8252,pencehu01
A.J. Pollock,31,CF,9256,polloaj01
Adam Jones,33,CF,6368,jonesad01
Billy Hamilton,28,CF,10199,hamilbi02
Eric Young Jr.,34,CF,7158,younger03
Rajai Davis,38,CF,3708,davisra01
Austin Jackson,32,CF,9848,jacksau01
Bryce Harper,26,RF,11579,harpebr03
Andrew McCutchen,32,RF,9847,mccutan01
Nick Markakis,35,RF,5930,markani01
Jon Jay,33,RF,5227,jayjo02
Lonnie Chisenhall,30,RF,7571,chiselo01
Robbie Grossman,29,RF,5254,grossro01
Melky Cabrera,34,RF,4022,cabreme01
Brandon Guyer,33,RF,2636,guyerbr01
Aristides Aquino,24,RF,15482,aquinar01
Ichiro Suzuki,45,RF,1101,suzukic01
Chris Young,35,RF,3882,youngch04
Chris Owings,27,RF,10030,owingch01
Nelson Cruz,38,DH,2434,cruzne02
Matt Davidson,28,DH,7226,davidma02
Evan Gattis,32,DH,11003,gattiev01
Patrick Corbin,29,SP,9323,corbipa01
Dallas Keuchel,31,SP,9434,keuchda01
J.A. Happ,36,SP,7410,happja01
Charlie Morton,35,SP,4676,mortoch02
Lance Lynn,32,SP,2520,lynnla01
CC Sabathia,38,SP,404,sabatc.01
Nathan Eovaldi,29,SP,9132,eovalna01
Gio Gonzalez,33,SP,7448,gonzagi01
Hyun-Jin Ryu,32,SP,14444,ryuhy01
Trevor Cahill,31,SP,6249,cahiltr01
Derek Holland,32,SP,4141,hollade01
Clay Buchholz,34,SP,3543,buchhcl01
Wade Miley,32,SP,8779,mileywa01
Matt Harvey,30,SP,11713,harvema01
Mike Fiers,33,SP,7754,fiersmi01
Jeremy Hellickson,32,SP,4371,hellije01
Garrett Richards,32,SP,9784,richaga01
Tyson Ross,32,SP,7872,rossty01
Brett Anderson,31,SP,8223,anderbr04
James Shields,37,SP,7059,shielja02
Jason Hammel,36,SP,4538,hammeja01
Edwin Jackson,35,SP,1841,jacksed01
Matt Shoemaker,32,SP,4776,shoemma01
Adam Wainwright,37,SP,2233,wainwad01
Marco Estrada,35,SP,1118,estrama01
Francisco Liriano,35,SP,3201,liriafr01
Doug Fister,35,SP,9425,fistedo01
Bartolo Colon,46,SP,375,colonba01
Yovani Gallardo,33,SP,8173,gallayo01
Matt Moore,30,SP,1890,moorema02
Sam Howard,25,SP,16265,howarsa01
Shelby Miller,28,SP,10197,millesh01
Homer Bailey,33,SP,8362,baileho02
Drew Pomeranz,30,SP,11426,pomerdr01
Kendall Graveman,27,SP,15514,graveke01
Chris Tillman,31,SP,5279,tillmch01
Ervin Santana,36,SP,3200,santaer01
Adam Ottavino,33,RP,1247,ottavad01
Jeurys Familia,29,RP,5114,familje01
Joakim Soria,35,RP,6941,soriajo01
David Robertson,34,RP,8241,roberda08
Craig Kimbrel,31,RP,6655,kimbrcr01
Jesse Chavez,35,RP,5448,chaveje01
Tony Sipp,35,RP,8280,sippto01
Zach Duke,36,RP,3840,dukeza01
Brad Brach,33,RP,6627,brachbr01
Nick Vincent,32,RP,7555,vinceni01
