Name,Age,Postion,fangraphsId
Matt Shoemaker,32,SP,4776
Adam Wainwright,37,SP,2233
Marco Estrada,35,SP,1118
Francisco Liriano,35,SP,3201
Doug Fister,35,SP,9425
Bartolo Colon,46,SP,375
Yovani Gallardo,33,SP,8173
Matt Moore,30,SP,1890
Sam Howard,25,SP,16265
Shelby Miller,28,SP,10197
Homer Bailey,33,SP,8362
Drew Pomeranz,30,SP,11426
Kendall Graveman,27,SP,15514
Chris Tillman,31,SP,5279
Ervin Santana,36,SP,3200
Adam Ottavino,33,RP,1247
Jeurys Familia,29,RP,5114
Joakim Soria,35,RP,6941
David Robertson,34,RP,8241
Craig Kimbrel,31,RP,6655
Jesse Chavez,35,RP,5448
Tony Sipp,35,RP,8280
Zach Duke,36,RP,3840
Brad Brach,33,RP,6627
Nick Vincent,32,RP,7555
Joe Kelly,31,RP,9761
Jordan Lyles,28,RP,7593
Sergio Romo,36,RP,9817
Jake Diekman,32,RP,5003
Justin Wilson,31,RP,4301
Tyler Clippard,34,RP,5640
Shawn Kelley,35,RP,7773
Andrew Miller,34,RP,6785
Kelvin Herrera,29,RP,6033
Greg Holland,33,RP,7196
Tony Barnette,35,RP,3555
Aaron Loup,31,RP,10343
Adam Warren,31,RP,9029
John Axford,36,RP,9059
Bud Norris,34,RP,9492
Ryan Madson,38,RP,1852
Dan Jennings,31,RP,8073
Alex Wilson,32,RP,9239
Zack Britton,31,RP,3240
Santiago Casilla,38,RP,2873
Carson Smith,29,RP,13172
Cory Gearrin,32,RP,7947
Cody Allen,30,RP,12183
Jorge De La Rosa,38,RP,2047
Justin Hancock,28,RP,12316
Fernando Salas,34,RP,4971
Zach McAllister,31,RP,2895
Jake Petricka,31,RP,10534
Blake Parker,31,RP,5224
Zac Rosscup,31,RP,9419
Blake Wood,33,RP,1345
Daniel Hudson,32,RP,7146
Jerry Blevins,35,RP,7841
Brad Boxberger,30,RP,10133
Matt Bush,32,RP,1246
Adrian Sampson,27,RP,13339
Allen Webster,28,RP,3993
Zac Curtis,26,RP,16684
Hunter Strickland,30,RP,7836
Matt Belisle,39,RP,1837
AJ Ramos,32,RP,8350
Jim Johnson,36,RP,3656
Randall Delgado,29,RP,5985
Marc Rzepczynski,33,RP,6612
Boone Logan,34,RP,5525
Peter Moylan,40,RP,4891
Tim Collins,29,RP,3164
Jason Adam,27,RP,11861
Junichi Tazawa,33,RP,4079
Brandon Maurer,28,RP,4878
Blaine Boyer,37,RP,2237
Josh Tomlin,34,RP,9388
Martín Maldonado,32,C,6887
René Rivera,35,C,3648
Stephen Vogt,34,C,5000
Asdrúbal Cabrera,33,2B,4962
Sean Rodríguez,34,2B,6589
Brett Lawrie,29,2B,5247
Danny Espinosa,32,2B,9219
José Reyes,36,3B,1736
José Iglesias,29,SS,10231
Troy Tulowitzki,34,SS,3531
Grégor Blanco,35,LF,3123
Ben Revere,30,LF,4712
Gorkys Hernández,31,CF,4146
Carlos González,33,RF,7287
José Bautista,38,RF,1887
Avisaíl García,28,RF,5760
Carlos Gómez,33,RF,4881
Pedro Álvarez,32,DH,2495
Aníbal Sánchez,35,SP,3284
Martin Pérez,28,SP,6902
Miguel González,35,SP,7024
Yusei Kikuchi,28,SP,20633
Nate Karns,31,SP,12638
Ricky Nolasco,36,SP,3830
Oliver Pérez,37,RP,1514
Luis Avilán,29,RP,2882
Xavier Cedeño,32,RP,36
Jeanmar Gómez,31,RP,9033
Ricardo Rodríguez,26,RP,15458
Héctor Santiago,31,RP,4026
Joaquin Benoit,41,RP,1437
Samir Dueñez,22,RP,sa739574
Jandel Gustave,26,RP,14665
Andres Machado,25,RP,14681
Jenrry Mejia,29,RP,8476
David Phelps,32,RP,6316
Justin Nicolino,27,RP,11754
