mlbId,LastName,firstInitial
608336,Gallo, J
553988,Machado, D
592407,Holaday, B
605131,Barnes, A
488721,Bourjos, P
400085,Suzuki, I
572033,Phegley, J
516472,Arcia, F
543194,Galloway, I
430832,Bautista, J
506747,Pena, F
571974,Murphy, J
458913,Young Jr., E
543484,Mahtook, M
641343,Bauers, J
572287,Zunino, M
571467,Baron, S
605164,Bundy, D
518595,d'Arnaud, T
641505,Davis, J
628333,Despaigne, O
657571,Ferguson, C
605253,Gore, T
640455,Manaea, S
425772,Mathis, J
621219,Mills, A
641924,Nottingham, J
607054,Peterson, J
592647,Pompey, D
572114,Schimpf, R
455755,Stewart, C
606132,Tapia, R
607333,Taylor, B
434378,Verlander, J
593934,Sano, M
472528,Valbuena, L
621446,Brinson, L
595885,Bird, G
623993,Santander, A
595284,Knapp, A
571578,Corbin, P
554430,Wheeler, Z
641319,Asuaje, C
594807,Duvall, A
475115,Ross, T
607387,Rua, R
596144,Cuthbert, C
431145,Martin, R
543776,Shuck, JB
608718,Suter, B
642423,Sierra, M
460077,Butera, D
543699,Roark, T
502481,Dyson, J
624419,Ciuffo, N
408314,Reyes, J
542908,Bandy, J
607471,Bostick, C
641154,Lopez, P
622446,Rodriguez, J
519333,Szczur, M
621433,Phillips, B
621559,Moroff, M
596142,Sanchez, G
489149,Morrison, L
593643,Alberto, H
489119,Miley, W
622046,Shaw, C
656669,Luplow, J
599096,Herrera, D
592685,Robinson, D
493596,Beckham, G
641796,Locastro, T
622194,Maxwell, B
642082,Sisco, C
571437,Altherr, A
476883,Alvarez, P
451594,Fowler, D
542979,Broxton, K
501659,Almonte, A
642336,Mejia, F
542454,Santana, D
593527,Torres, R
641525,Dixon, B
595453,Wallach, C
621493,Ward, T
435064,Wilson, B
506702,Leon, S
621044,Valentin, J
657658,Lee, B
607257,Lopez, R
593647,Brito, S
527054,Teheran, J
605204,Davis, J
593495,Castro, D
592859,Wilkerson, S
592680,Rivera, Y
547172,Wolters, T
592273,Drury, B
600474,Severino, P
455759,Young, C
448801,Davis, C
547379,Perez, R
576788,Butler, D
518553,Cishek, S
502171,Cobb, A
602115,Guerrero, G
543309,Higashioka, K
621529,Hudson, J
571918,Marrero, D
450203,Morton, C
519068,Navarro, E
621512,Nido, T
449181,Orlando, P
621471,Powell, B
608701,Refsnyder, R
595373,Reinheimer, J
446481,Rodriguez, S
448306,Shields, J
501213,Sierra, M
474319,Snyder, B
624133,Suarez, R
642180,Wade, T
488671,Avila, A
605233,Fisher, D
594798,deGrom, J
572233,Walker, C
621111,Buehler, W
518542,Centeno, J
605397,Musgrove, J
573185,Straily, D
468504,Chacin, J
543022,Chatwood, T
518516,Bumgarner, M
622226,Cozens, D
596133,Weaver, L
642162,Valaika, P
621439,Buxton, B
488810,Cruz, T
608703,Reynolds, M
656427,Flaherty, J
643230,Brault, S
612672,Chen, W
450306,Vargas, J
600301,Motter, T
488771,Castro, J
543101,DeSclafani, A
595943,Evans, P
641771,Kuhl, C
446653,Lobaton, J
571945,Mikolas, M
542208,Perez, C
596071,Peters, D
453203,Robinson, S
622713,Vielma, E
663656,Tucker, K
608717,Stratton, C
